Engagements,NBA_Follower_Count,Created,Type,Description,Len_Desc,Tagged_Count,DayOfWeek,playOffDate,month,hour,timeOfDay,propOfSpecialTexts,shoutouts,teamTagged,otherTagged,top3Tagged,bottom3Tagged,hashtags,hasHashtag,monthDateYear,postsInThatDay
502093,36984682,2019-05-22 03:30:51,Video,The @raptors bench trio of @sergeibaka @normanpowell4 & @fredvanvleet combine for 48 in Game 4!,95,4,Wednesday,1,5,3,Night,0.26666666666666666,"['@raptors ', '@sergeibaka ', '@normanpowell4 ', '@fredvanvleet ']",1,1,0,0,[],False,2019-05-22,5
603380,36984682,2019-05-22 02:53:33,Video,@kyle_lowry7 pulls from deep for the @raptors in the 4th on TNT!,64,2,Wednesday,1,5,2,Night,0.16666666666666666,"['@kyle_lowry7 ', '@raptors ']",1,1,0,0,[],False,2019-05-22,5
603380,36984682,2019-05-22 02:19:58,Video,@k_mid22 with some english on the @bucks dime!,46,2,Wednesday,1,5,2,Night,0.25,"['@k_mid22 ', '@bucks ']",1,1,0,0,[],False,2019-05-22,5
725100,36984682,2019-05-22 02:02:41,Video,Kawhi punches it home with the left on TNT!,43,0,Wednesday,1,5,2,Night,0.0,[],0,0,0,0,[],False,2019-05-22,5
661446,36984682,2019-05-22 00:47:49,Video,@giannis_an34 goes baseline early to rock the rim on TNT!,57,1,Wednesday,1,5,0,Night,0.1,['@giannis_an34 '],0,1,0,0,[],False,2019-05-22,5
322444,36955156,2019-05-21 18:02:32,Photo,"Congrats to the 2018-19 NBA All-Rookie First Team, led by unanimous selections @lukadoncic & @traeyoung!",104,2,Tuesday,1,5,18,Evening,0.13333333333333333,['@lukadoncic '],0,1,0,0,[],False,2019-05-21,19
722540,36955156,2019-05-21 16:30:53,Video,The @warriors locked in for four games to advance to the #NBAFinals presented by YouTube TV! #GatoradeZero,106,1,Tuesday,1,5,16,Afternoon,0.17647058823529413,['@warriors '],1,0,0,0,['#NBAFinals '],True,2019-05-21,19
339265,36955156,2019-05-21 12:59:02,Photo,Will the @bucks take a commanding 3-1 lead... or will the @raptors even the ECF up 2-2??,88,2,Tuesday,1,5,12,Afternoon,0.17647058823529413,"['@bucks ', '@raptors ']",1,0,0,0,[],False,2019-05-21,19
443330,36955156,2019-05-21 04:48:16,Photo,TAP to SHOP the @warriors Western Conference Champions gear from @nbastore!,75,2,Tuesday,1,5,4,Night,0.18181818181818182,['@warriors '],1,0,0,0,[],False,2019-05-21,19
652193,36955156,2019-05-21 04:38:18,Video,Hey @stephencurry30... that was the first time teammates had triple-doubles in the same #NBAPlayoffs game in @nbahistory!,121,2,Tuesday,1,5,4,Night,0.17647058823529413,[],0,0,0,0,['#NBAPlayoffs '],True,2019-05-21,19
652193,36955156,2019-05-21 04:31:13,Video,@stephencurry30 (37/13/11) & @money23green (18/14/11) become the first teammates in #NBAPlayoffs history to record a triple-double in the same game!,148,2,Tuesday,1,5,4,Night,0.15,"['@stephencurry30 ', '@money23green ']",0,1,1,0,['#NBAPlayoffs '],True,2019-05-21,19
443330,36955156,2019-05-21 04:24:13,Photo,The @warriors defeat @trailblazers 119-117 to advance to their 5th consecutive #NBAFinals presented by YouTube TV!,114,2,Tuesday,1,5,4,Night,0.1875,"['@warriors ', '@trailblazers ']",1,0,0,0,['#NBAFinals '],True,2019-05-21,19
713427,36955156,2019-05-21 04:21:06,Video,@money23green (18/14/11) reacts to a 5th straight #NBAFinals appearance with the @warriors!,91,2,Tuesday,1,5,4,Night,0.25,['@money23green '],0,1,0,0,['#NBAFinals '],True,2019-05-21,19
470233,36955156,2019-05-21 03:54:39,Photo,The @warriors win the West & advance to their 5th consecutive #NBAFinals presented by YouTube TV!,97,1,Tuesday,1,5,3,Night,0.125,['@warriors '],1,0,0,0,['#NBAFinals '],True,2019-05-21,19
675091,36955156,2019-05-21 03:45:36,Video,@money23green triple extends the @warriors lead late in OT on ESPN! #NBAPlayoffs,80,2,Tuesday,1,5,3,Night,0.25,"['@money23green ', '@warriors ']",1,1,0,0,[],False,2019-05-21,19
443543,36955156,2019-05-21 03:33:24,Photo,@stephencurry30 & @money23green become the first teammates in @nbahistory to record triple-doubles in the same #NBAPlayoffs game!,129,3,Tuesday,1,5,3,Night,0.23529411764705882,"['@stephencurry30 ', '@money23green ', '@nbahistory ']",0,1,1,0,['#NBAPlayoffs '],True,2019-05-21,19
718485,36955156,2019-05-21 03:29:25,Video,?? @meyersleonard11! ?? (??: ESPN),34,1,Tuesday,1,5,3,Night,0.8,[],0,0,0,0,[],False,2019-05-21,19
427347,36955156,2019-05-21 03:27:54,Photo,@money23green notches the triple-double for the @warriors with 14/12/11 in the 4th! #TripleDoubleAlert,102,2,Tuesday,1,5,3,Night,0.23076923076923078,"['@money23green ', '@warriors ']",1,1,0,0,[],False,2019-05-21,19
696779,36955156,2019-05-21 03:24:11,Video,@stephencurry30 dime & hesi in the 4th on ESPN! #NBAPlayoffs,60,1,Tuesday,1,5,3,Night,0.2,['@stephencurry30 '],0,1,1,0,[],False,2019-05-21,19
569271,36955156,2019-05-21 03:22:01,Photo,@stephencurry30 notches the triple-double for the @warriors with 37/10/10 in the 4th! #TripleDoubleAlert,104,2,Tuesday,1,5,3,Night,0.23076923076923078,"['@stephencurry30 ', '@warriors ']",1,1,1,0,[],False,2019-05-21,19
603391,36955156,2019-05-21 02:40:42,Video,@damianlillard uses his dribble into the @trailblazers triple!,62,2,Tuesday,1,5,2,Night,0.25,"['@damianlillard ', '@trailblazers ']",1,1,0,0,[],False,2019-05-21,19
