Engagements,NBA_Follower_Count,Created,Type,Description,Len_Desc,Tagged_Count,DayOfWeek,playOffDate,month,hour,timeOfDay,propOfSpecialTexts,shoutouts,TagLevel,teamTagged,otherTagged,top3Tagged,bottom3Tagged,hashtags,hasHashtag,HashLevel,monthDateYear,postsInThatDay
,36984682,2019-05-22 00:31:55-04:00,Photo,The @raptors even up the Eastern Conference Finals 2-2!,55,1,Wednesday,1,5,0,Night,0.1111111111111111,['@raptors'],Low,0,1,0,0,[],False,None,2019-05-22,1
,36984682,2019-05-21 23:20:41-04:00,Photo,The @raptors even the Eastern Conference Finals with the @bucks 2-2 on 120-102 home victory!,92,2,Tuesday,1,5,23,Evening,0.13333333333333333,"['@raptors', '@bucks']",Low,0,1,0,0,[],False,None,2019-05-21,6
,36984682,2019-05-21 21:18:51-04:00,Video,@sergeibaka keeps it alive for the @raptors! (??: @nbaontnt),60,3,Tuesday,1,5,21,Evening,0.4444444444444444,"['@sergeibaka', '@raptors', '@nbaontnt']",Mid,0,1,0,0,[],False,None,2019-05-21,6
,36955156,2019-05-21 18:20:09-04:00,Video,"???? The SUPERHUMAN HANDS of Giannis & Kawhi ????
...
??: @bucks x @raptors G4
?: 8:30pm/et ??: @nbaontnt",105,3,Tuesday,1,5,18,Evening,0.375,"['@bucks', '@raptors', '@nbaontnt']",Mid,0,1,0,0,[],False,None,2019-05-21,6
,36955156,2019-05-21 15:04:31-04:00,Video,"?? the @raptors & @bucks in transition! #NBABreakdown
...
??: Eastern Conference Finals Game 4
?: 8:30pm/et ??: @nbaontnt",121,3,Tuesday,1,5,15,Afternoon,0.375,"['@raptors', '@bucks', '@nbaontnt']",Mid,0,1,0,0,['#NBABreakdown'],True,High,2019-05-21,6
,36955156,2019-05-21 02:09:47-04:00,Photo,The @warriors advance to the 2019 #NBAFinals presented by @youtube TV!,70,2,Tuesday,1,5,2,Night,0.2727272727272727,"['@warriors', '@youtube']",Mid,0,1,0,0,['#NBAFinals'],True,Mid,2019-05-21,6
,36955156,2019-05-21 01:30:13-04:00,Video,Big bro wins this one! #PhantomCam,34,0,Tuesday,1,5,1,Night,0.16666666666666666,[],None,0,0,0,0,['#PhantomCam'],True,High,2019-05-21,6
,36955156,2019-05-20 22:25:20-04:00,Video,@stephencurry30 pulls up from deep to end the half on ESPN!,59,1,Monday,1,5,22,Evening,0.09090909090909091,['@stephencurry30'],High,0,1,0,0,[],False,None,2019-05-20,3
,36955156,2019-05-20 22:09:36-04:00,Video,The @warriors move the ball to find Andrew Bogut for the @warriors slam on ESPN!,80,2,Monday,1,5,22,Evening,0.13333333333333333,"['@warriors', '@warriors']",Mid,0,1,0,0,[],False,None,2019-05-20,3
,36928789,2019-05-20 15:26:07-04:00,Video,"?? @money23green micd up in Game 3 of the WCF! ??
...
??: @warriors x @trailblazers Game 4
?: 9:00pm/et ??: @nbaonespn",119,4,Monday,1,5,15,Afternoon,0.3684210526315789,"['@money23green', '@warriors', '@trailblazers', '@nbaonespn']",Mid,0,1,0,0,[],False,None,2019-05-20,3
